iter	Passed	Remaining
0	1461	1459878
1	3046	1520286
2	4318	1435250
3	5713	1422774
4	7018	1396672
5	8236	1364461
6	9432	1338029
7	10645	1320033
8	11908	1311255
9	12997	1286734
10	14229	1279395
11	15358	1264523
12	16603	1260554
13	17846	1256931
14	18979	1246307
15	20216	1243317
16	21412	1238121
17	22679	1237265
18	23955	1236865
19	25348	1242081
20	26524	1236564
21	27590	1226528
22	28978	1230948
23	30157	1226394
24	31384	1223991
25	32381	1213073
26	33399	1203602
27	34633	1202265
28	35719	1195998
29	36901	1193137
30	37903	1184793
31	39113	1183187
32	40276	1180209
33	41437	1177312
34	42594	1174397
35	43778	1172288
36	44986	1170876
37	46245	1170741
38	47412	1168297
39	48609	1166631
40	49853	1166090
41	50821	1159223
42	51994	1157172
43	53105	1153843
44	54422	1154962
45	55634	1153813
46	56688	1149453
47	57846	1147279
48	58956	1144243
49	60100	1141903
50	61140	1137692
51	62130	1132690
52	63303	1131108
53	64473	1129472
54	65716	1129134
55	66725	1124803
56	67987	1124777
57	69111	1122459
58	70467	1123896
59	71379	1118277
60	72691	1118974
61	73880	1117744
62	74864	1113461
63	75999	1111498
64	77045	1108272
65	78193	1106550
66	79362	1105147
67	80532	1103766
68	81562	1100504
69	82765	1099595
70	83979	1098827
71	84963	1095079
72	86176	1094327
73	87223	1091475
74	88303	1089075
75	89354	1086366
76	90442	1084138
77	91716	1084135
78	92884	1082872
79	93948	1080402
80	94986	1077689
81	96027	1075040
82	97215	1074051
83	98278	1071700
84	99506	1071155
85	100828	1071598
86	102135	1071834
87	103422	1071831
88	104610	1070789
89	105822	1069986
90	106992	1068744
91	108128	1067183
92	109349	1066451
93	110572	1065734
94	111585	1063000
95	112692	1061186
96	113877	1060117
97	115250	1060774
98	116415	1059496
99	117829	1060461
100	119147	1060531
101	120420	1060171
102	121575	1058767
103	123088	1060452
104	124353	1059963
105	125667	1059876
106	126878	1058901
107	128049	1057593
108	129318	1057090
109	130571	1056445
110	131855	1056034
111	132817	1053053
112	134010	1051921
113	134995	1049175
114	135879	1045678
115	136746	1042099
116	137594	1038428
117	138596	1035946
118	139515	1032884
119	140394	1029562
120	141393	1027145
121	142280	1023956
122	143178	1020876
123	144143	1018305
124	145018	1015129
125	145912	1012120
126	146812	1009189
127	147745	1006516
128	148520	1002803
129	149361	999572
130	150131	995909
131	151099	993592
132	151949	990525
133	152908	988200
134	153843	985739
135	154724	982956
136	155667	980591
137	156638	978426
138	157435	975195
139	158258	972156
140	159093	969231
141	160017	966868
142	160952	964587
143	161846	962089
144	162768	959770
145	163561	956723
146	164441	954208
147	165392	952126
148	166426	950531
149	167395	948576
150	168334	946464
151	169232	944137
152	170032	941292
153	170804	938317
154	171707	936082
155	172653	934102
156	173556	931898
157	174474	929792
158	175355	927509
159	176276	925452
160	177192	923382
161	178089	921229
162	178991	919118
163	179945	917285
164	181010	916021
165	181763	913198
166	182621	910921
167	183549	909005
168	184394	906695
169	185311	904757
170	186107	902241
171	187017	900292
172	188112	899242
173	189220	898251
174	190230	896803
175	191220	895257
176	192102	893223
177	193063	891562
178	194092	890224
179	194997	888322
180	195888	886367
181	196742	884259
182	197766	882926
183	198675	881083
184	199561	879149
185	200574	877783
186	201431	875742
187	202435	874350
188	203311	872410
189	204304	870981
190	205201	869151
191	206187	867706
192	207267	866656
193	208145	864770
194	209098	863199
195	210094	861818
196	211023	860163
197	211954	858522
198	212743	856317
199	213678	854712
200	214576	852966
201	215444	851112
202	216405	849630
203	217280	847820
204	218220	846268
205	219210	844918
206	220087	843136
207	221027	841604
208	221920	839901
209	222904	838544
210	223822	836947
211	224814	835630
212	225738	834065
213	226693	832623
214	227721	831450
215	228567	829615
216	229581	828396
217	230505	826858
218	231436	825352
219	232337	823741
220	233361	822571
221	234238	820890
222	235214	819560
223	236092	817890
224	237173	816931
225	238180	815714
226	239189	814508
227	240075	812887
228	240990	811368
229	241842	809647
230	242806	808303
231	243801	807065
232	244666	805404
233	245489	803609
234	246565	802650
235	247591	801523
236	248343	799519
237	249186	797816
238	250131	796442
239	251205	795484
240	252090	793929
241	252938	792260
242	253854	790814
243	254655	789013
244	255495	787343
245	256333	785672
246	257132	783889
247	257912	782057
248	258720	780317
249	259478	778434
250	260390	777020
251	261185	775264
252	262098	773864
253	262950	772287
254	263719	770473
255	264621	769057
256	265495	767560
257	266377	766092
258	267276	764678
259	268113	763092
260	269013	761688
261	269777	759907
262	270547	758149
263	271406	756647
264	272243	755091
265	273058	753478
266	273868	751857
267	274811	750605
268	275592	748914
269	276502	747581
270	277243	745794
271	278067	744239
272	278933	742801
273	279739	741207
274	280546	739621
